x,y,z,j1,j2,j3,j4
-0.195182,-0.355989,0.964915,-151.2649,25.1202,44.8006,56.1347
-0.040524,0.126301,1.167694,-17.7890,80.2196,-7.0957,-38.6692
-0.293973,0.217602,1.040405,-53.4907,40.5967,26.5097,-92.1092
-0.018745,0.015550,1.177911,-50.3225,81.3502,15.2707,-25.5903
0.414164,-0.264259,0.380953,122.5401,-45.6561,58.0912,112.8459
-0.454191,0.051320,0.213947,-83.5534,-26.9382,-28.4930,-149.8493
0.441309,0.052061,0.950357,83.2719,25.9365,33.6966,-141.2595
0.027391,0.153356,1.043602,10.1268,42.1607,73.0097,3.7883
0.505102,-0.058852,0.887250,96.6458,39.6669,-20.6314,-68.8827
-0.022017,0.437348,0.706492,-2.8820,49.1282,-83.4312,-8.6944
-0.112136,0.510681,0.670201,-12.3845,-13.7349,57.8917,74.7690
0.158912,0.307791,1.035777,27.3072,37.3329,37.5407,31.7888
-0.341570,-0.091925,0.176703,-105.0629,-71.3221,55.4626,116.9674
-0.250691,0.298188,0.163446,-40.0543,-62.8670,38.8211,-82.6109
-0.188106,-0.496635,0.755444,-159.2553,-0.1039,44.8802,-105.6835
0.179528,-0.179441,1.125573,134.9861,68.8412,-9.1581,6.7725
0.021460,0.046288,0.008600,-155.1271,-79.9701,-36.8005,24.4832
-0.199005,0.161087,0.202640,-51.0111,-22.8496,-83.3677,92.9650
-0.041084,0.278931,0.105953,-8.3789,-79.1679,48.7044,64.6280
-0.322446,-0.065600,0.077402,-101.4996,-52.0926,-11.3420,-109.9644
0.352339,-0.457159,0.409890,142.3780,-12.6262,-9.1676,-13.8481
0.157174,-0.432828,0.967993,160.0424,43.4584,-8.0704,-150.7946
0.118111,0.165743,0.122003,35.4741,-38.3064,-68.8994,-98.6761
-0.166336,-0.415446,0.828687,-158.1798,2.7823,65.0513,55.7946
-0.493139,-0.184262,0.517007,-110.4883,16.7591,-58.0445,59.6499
-0.000118,0.003789,0.046269,-1.7867,-66.5770,-56.5903,75.5409
0.083787,0.231385,0.176011,19.9059,-27.5025,-78.1740,66.5806
-0.576262,0.160436,0.502056,-74.4424,-5.7486,-4.0454,68.7942
-0.051495,-0.049380,0.082940,46.2009,-70.5611,-68.5599,-93.6056
0.088530,0.054516,1.174530,58.3754,79.4768,1.4579,111.5833
-0.479708,-0.315050,0.766798,-123.2951,18.6639,-1.5325,-39.5554
-0.172364,0.068464,0.126957,-68.3368,-38.5279,-72.8575,-11.2328
-0.365449,-0.413318,0.685618,-138.5174,28.7153,-43.6125,62.1629
0.561230,0.163788,0.691770,73.7308,18.8411,-19.3965,129.9867
-0.064078,-0.132195,0.186995,-154.1395,-33.0203,-93.7291,-102.3039
-0.338076,-0.339089,0.686559,-135.0857,-16.5392,72.5224,-15.3243
-0.248267,-0.069427,0.034834,-105.6234,-62.6254,-4.9902,20.8652
0.225916,-0.328456,0.913869,145.4792,65.0787,-62.0534,135.6253
